id,loc_id,geo_lat,geo_lon,emb_x,emb_y,timestamp,cat_a,cat_b,cat_c,num_a,num_b
526512f1-2d06-5896-8f3e-c190c5fe1d80,e73d54fe-0cf2-5f14-9535-18cbe6ec3069,44.273956048555966,-103.06112156024795,-0.7125817,0.35978448,2023-01-01,water,west,tier3,8.270137,-3.6974928
43ad144c-c887-5a39-a42f-ce357d4a8057,e73d54fe-0cf2-5f14-9535-18cbe6ec3069,44.273956048555966,-103.06112156024795,-0.70825696,0.36309057,2023-02-01,water,west,tier3,7.599177,-3.7049198
174fadec-494b-5d7b-bdca-dbe66c405c9a,e73d54fe-0cf2-5f14-9535-18cbe6ec3069,44.273956048555966,-103.06112156024795,-0.6965505,0.36081642,2023-03-01,water,west,tier3,7.656562,-3.8584306
fde226b7-f1f2-537f-ae57-5c6510e8c823,e73d54fe-0cf2-5f14-9535-18cbe6ec3069,44.273956048555966,-103.06112156024795,-0.6951601,0.36372495,2023-04-01,water,west,tier3,8.531884,-4.129073
405ed4f9-32f5-5142-82e7-dc791ba62b69,e73d54fe-0cf2-5f14-9535-18cbe6ec3069,44.273956048555966,-103.06112156024795,-0.6929958,0.34279567,2023-05-01,water,west,tier3,8.037079,-3.802
649de9e0-9550-579b-8aaa-47105354cb34,2bdb51b2-2d72-5d8e-8cee-12f92deb16ba,44.26113970199035,-102.71393569472305,0.2717318,-0.9613339,2023-01-01,rangeland,south,tier2,9.968133,-2.5195153
922357ce-3e4e-5b72-98f8-2471a96f2dbb,2bdb51b2-2d72-5d8e-8cee-12f92deb16ba,44.26113970199035,-102.71393569472305,0.28394616,-0.9577972,2023-02-01,rangeland,south,tier2,9.592025,-2.5057328
c3bd3a17-d033-533a-9bca-71531c743c8e,2bdb51b2-2d72-5d8e-8cee-12f92deb16ba,44.26113970199035,-102.71393569472305,0.27898303,-0.9474831,2023-03-01,rangeland,south,tier2,9.665693,-3.1666293
ad4197b8-246c-5c37-a57f-944715e6b57d,2bdb51b2-2d72-5d8e-8cee-12f92deb16ba,44.26113970199035,-102.71393569472305,0.27917233,-0.94614094,2023-04-01,rangeland,south,tier2,9.913959,-2.7481554
f7b30b0c-29ec-5759-84f5-4b2449abab06,2bdb51b2-2d72-5d8e-8cee-12f92deb16ba,44.26113970199035,-102.71393569472305,0.27080914,-0.9415228,2023-05-01,rangeland,south,tier2,9.489064,-2.8345156
5fb9d534-fdef-5c90-92fd-8ba878924264,3124fb5e-4b5a-5daf-b467-648ae32cb87f,44.4267649888486,-102.85613487991934,-0.7472155,0.46610996,2023-01-01,water,west,tier3,9.189126,-4.064665
72fb6aac-0fb8-5a06-b624-879d6189beaa,3124fb5e-4b5a-5daf-b467-648ae32cb87f,44.4267649888486,-102.85613487991934,-0.74392354,0.49025133,2023-02-01,water,west,tier3,8.861025,-4.695469
d741f5f4-3bca-597a-9bc9-9f2f3c636ccf,3124fb5e-4b5a-5daf-b467-648ae32cb87f,44.4267649888486,-102.85613487991934,-0.7543166,0.4749178,2023-03-01,water,west,tier3,9.059539,-4.049448
4ca40b5f-705e-5656-8ce1-98fb4a81c0df,3124fb5e-4b5a-5daf-b467-648ae32cb87f,44.4267649888486,-102.85613487991934,-0.7381478,0.48838782,2023-04-01,water,west,tier3,9.128268,-4.461172
efa2273a-ca66-54fa-a093-8aefdfe4c50a,3124fb5e-4b5a-5daf-b467-648ae32cb87f,44.4267649888486,-102.85613487991934,-0.75769866,0.48940688,2023-05-01,water,west,tier3,8.904175,-4.280918
f06c7bb7-eb1b-56dd-88a9-ed08fba9fa0f,a8f287e9-45c2-5e58-9618-da7dfef4c66e,43.56381725610417,-102.67236882800742,0.28484836,-0.9575293,2023-01-01,rangeland,south,tier2,10.181615,-2.4659555
cd14cb2f-114e-521b-be52-24109d4a7f52,a8f287e9-45c2-5e58-9618-da7dfef4c66e,43.56381725610417,-102.67236882800742,0.28712747,-0.947129,2023-02-01,rangeland,south,tier2,9.738118,-2.7518263
655f1a31-1c69-5405-9a1a-ad98509319d0,a8f287e9-45c2-5e58-9618-da7dfef4c66e,43.56381725610417,-102.67236882800742,0.31115347,-0.94576025,2023-03-01,rangeland,south,tier2,10.1960535,-2.3882709
11754e56-ddb1-5a06-826a-57a949c2fdde,a8f287e9-45c2-5e58-9618-da7dfef4c66e,43.56381725610417,-102.67236882800742,0.28782278,-0.95663947,2023-04-01,rangeland,south,tier2,9.774356,-2.8342843
97f1e0ab-8b18-5365-b99a-707932a933ac,a8f287e9-45c2-5e58-9618-da7dfef4c66e,43.56381725610417,-102.67236882800742,0.2734385,-0.95590943,2023-05-01,rangeland,south,tier2,9.780113,-2.3985121
